RLJ Lodging Trust Quarterly Net Income (Millions of US $),RLJ Lodging Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$-1
2023-12-31,$2
2023-09-30,$10
2023-06-30,$35
2023-03-31,$4
2022-12-31,$0
2022-09-30,$11
2022-06-30,$27
2022-03-31,$-22
2021-12-31,$-34
2021-09-30,$-154
2021-06-30,$-58
2021-03-31,$-84
2020-12-31,$-93
2020-09-30,$-179
2020-06-30,$-121
2020-03-31,$-36
2019-12-31,$28
2019-09-30,$26
2019-06-30,$27
2019-03-31,$21
2018-12-31,$21
2018-09-30,$68
2018-06-30,$57
2018-03-31,$17
2017-12-31,$1
2017-09-30,$2
2017-06-30,$42
2017-03-31,$22
2016-12-31,$76
2016-09-30,$41
2016-06-30,$58
2016-03-31,$25
2015-12-31,$74
2015-09-30,$41
2015-06-30,$56
2015-03-31,$48
2014-12-31,$34
2014-09-30,$37
2014-06-30,$53
2014-03-31,$12
2013-12-31,$28
2013-09-30,$36
2013-06-30,$41
2013-03-31,$8
2012-12-31,$13
2012-09-30,$15
2012-06-30,$19
2012-03-31,$-7
2011-12-31,$-1
2011-09-30,$31
2011-06-30,$-3
2011-03-31,$-16
2010-12-31,$-10
2010-09-30,$-9
2010-06-30,$15
2010-03-31,$-18
2009-12-31,
2009-09-30,
