Murphy Oil Quarterly Net Income (Millions of US $),Murphy Oil Quarterly Net Income (Millions of US $).1
2024-06-30,$128
2024-03-31,$90
2023-12-31,$116
2023-09-30,$255
2023-06-30,$98
2023-03-31,$192
2022-12-31,$199
2022-09-30,$528
2022-06-30,$351
2022-03-31,$-113
2021-12-31,$168
2021-09-30,$108
2021-06-30,$-63
2021-03-31,$-287
2020-12-31,$-172
2020-09-30,$-244
2020-06-30,$-317
2020-03-31,$-416
2019-12-31,$-72
2019-09-30,"$1,089"
2019-06-30,$92
2019-03-31,$40
2018-12-31,$103
2018-09-30,$94
2018-06-30,$46
2018-03-31,$168
2017-12-31,$-287
2017-09-30,$-66
2017-06-30,$-18
2017-03-31,$58
2016-12-31,$-64
2016-09-30,$-16
2016-06-30,$3
2016-03-31,$-199
2015-12-31,$-587
2015-09-30,"$-1,595"
2015-06-30,$-74
2015-03-31,$-14
2014-12-31,$375
2014-09-30,$246
2014-06-30,$129
2014-03-31,$155
2013-12-31,$75
2013-09-30,$285
2013-06-30,$403
2013-03-31,$361
2012-12-31,$159
2012-09-30,$227
2012-06-30,$295
2012-03-31,$290
2011-12-31,$-114
2011-09-30,$406
2011-06-30,$312
2011-03-31,$269
2010-12-31,$174
2010-09-30,$203
2010-06-30,$272
2010-03-31,$149
2009-12-31,$319
2009-09-30,$189
2009-06-30,$159
2009-03-31,$171
