Innovative Industrial Properties Quarterly Net Income (Millions of US $),Innovative Industrial Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$42
2024-03-31,$39
2023-12-31,$41
2023-09-30,$41
2023-06-30,$41
2023-03-31,$41
2022-12-31,$41
2022-09-30,$37
2022-06-30,$40
2022-03-31,$35
2021-12-31,$28
2021-09-30,$30
2021-06-30,$29
2021-03-31,$26
2020-12-31,$21
2020-09-30,$19
2020-06-30,$13
2020-03-31,$12
2019-12-31,$10
2019-09-30,$6
2019-06-30,$3
2019-03-31,$3
2018-12-31,$2
2018-09-30,$1
2018-06-30,$1
2018-03-31,$1
2017-12-31,$0
2017-09-30,$0
2017-06-30,$-0
2017-03-31,$-1
2016-12-31,
2016-09-30,$-0
