Federated Hermes Quarterly Net Income (Millions of US $),Federated Hermes Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$72
2023-12-31,$78
2023-09-30,$72
2023-06-30,$69
2023-03-31,$66
2022-12-31,$54
2022-09-30,$66
2022-06-30,$55
2022-03-31,$53
2021-12-31,$66
2021-09-30,$68
2021-06-30,$53
2021-03-31,$71
2020-12-31,$90
2020-09-30,$82
2020-06-30,$78
2020-03-31,$62
2019-12-31,$79
2019-09-30,$70
2019-06-30,$60
2019-03-31,$52
2018-12-31,$57
2018-09-30,$57
2018-06-30,$37
2018-03-31,$60
2017-12-31,$127
2017-09-30,$54
2017-06-30,$51
2017-03-31,$48
2016-12-31,$52
2016-09-30,$53
2016-06-30,$51
2016-03-31,$45
2015-12-31,$46
2015-09-30,$42
2015-06-30,$40
2015-03-31,$35
2014-12-31,$38
2014-09-30,$36
2014-06-30,$35
2014-03-31,$34
2013-12-31,$40
2013-09-30,$36
2013-06-30,$39
2013-03-31,$41
2012-12-31,$46
2012-09-30,$54
2012-06-30,$39
2012-03-31,$41
2011-12-31,$35
2011-09-30,$37
2011-06-30,$41
2011-03-31,$33
2010-12-31,$40
2010-09-30,$43
2010-06-30,$48
2010-03-31,$42
2009-12-31,$52
2009-09-30,$57
2009-06-30,$53
2009-03-31,$35
