Steelcase Quarterly Net Income (Millions of US $),Steelcase Quarterly Net Income (Millions of US $).1
2024-08-31,$63
2024-05-31,$11
2024-02-29,$21
2023-11-30,$31
2023-08-31,$28
2023-05-31,$2
2023-02-28,$16
2022-11-30,$11
2022-08-31,$20
2022-05-31,$-11
2022-02-28,$-2
2021-11-30,$10
2021-08-31,$25
2021-05-31,$-28
2021-02-28,$6
2020-11-30,$2
2020-08-31,$56
2020-05-31,$-37
2020-02-29,$67
2019-11-30,$55
2019-08-31,$61
2019-05-31,$18
2019-02-28,$20
2018-11-30,$37
2018-08-31,$49
2018-05-31,$17
2018-02-28,$-2
2017-11-30,$26
2017-08-31,$37
2017-05-31,$18
2017-02-28,$26
2016-11-30,$41
2016-08-31,$38
2016-05-31,$19
2016-02-29,$78
2015-11-30,$36
2015-08-31,$37
2015-05-31,$20
2015-02-28,$23
2014-11-30,$12
2014-08-31,$31
2014-05-31,$21
2014-02-28,$24
2013-11-30,$23
2013-08-31,$28
2013-05-31,$13
2013-02-28,$-27
2012-11-30,$24
2012-08-31,$29
2012-05-31,$13
2012-02-29,$15
2011-11-30,$22
2011-08-31,$12
2011-05-31,$8
2011-02-28,$10
2010-11-30,$18
2010-08-31,$3
2010-05-31,$-11
2010-02-28,
2009-11-30,
2009-08-31,
2009-05-31,
2009-02-28,$-66
