NextEra Energy Quarterly Net Income (Millions of US $),NextEra Energy Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,622"
2024-03-31,"$2,268"
2023-12-31,"$1,210"
2023-09-30,"$1,219"
2023-06-30,"$2,795"
2023-03-31,"$2,086"
2022-12-31,"$1,522"
2022-09-30,"$1,696"
2022-06-30,"$1,380"
2022-03-31,$-451
2021-12-31,"$1,204"
2021-09-30,$447
2021-06-30,$256
2021-03-31,"$1,666"
2020-12-31,$-6
2020-09-30,"$1,229"
2020-06-30,"$1,275"
2020-03-31,$421
2019-12-31,$976
2019-09-30,$879
2019-06-30,"$1,234"
2019-03-31,$680
2018-12-31,$421
2018-09-30,"$1,005"
2018-06-30,$781
2018-03-31,"$4,431"
2017-12-31,"$2,157"
2017-09-30,$847
2017-06-30,$793
2017-03-31,"$1,583"
2016-12-31,$960
2016-09-30,$753
2016-06-30,$540
2016-03-31,$653
2015-12-31,$507
2015-09-30,$879
2015-06-30,$716
2015-03-31,$650
2014-12-31,$883
2014-09-30,$660
2014-06-30,$492
2014-03-31,$430
2013-12-31,$328
2013-09-30,$698
2013-06-30,$610
2013-03-31,$272
2012-12-31,$428
2012-09-30,$415
2012-06-30,$607
2012-03-31,$461
2011-12-31,$668
2011-09-30,$407
2011-06-30,$580
2011-03-31,$268
2010-12-31,$264
2010-09-30,$720
2010-06-30,$417
2010-03-31,$556
2009-12-31,$348
2009-09-30,$533
2009-06-30,$370
2009-03-31,$364
