Starbucks Quarterly Net Income (Millions of US $),Starbucks Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,055"
2024-03-31,$772
2023-12-31,"$1,024"
2023-09-30,"$1,219"
2023-06-30,"$1,142"
2023-03-31,$908
2022-12-31,$855
2022-09-30,$878
2022-06-30,$913
2022-03-31,$675
2021-12-31,$816
2021-09-30,"$1,764"
2021-06-30,"$1,153"
2021-03-31,$659
2020-12-31,$622
2020-09-30,$393
2020-06-30,$-678
2020-03-31,$328
2019-12-31,$886
2019-09-30,$803
2019-06-30,"$1,373"
2019-03-31,$663
2018-12-31,$761
2018-09-30,$756
2018-06-30,$853
2018-03-31,$660
2017-12-31,"$2,250"
2017-09-30,$789
2017-06-30,$692
2017-03-31,$653
2016-12-31,$752
2016-09-30,$801
2016-06-30,$754
2016-03-31,$575
2015-12-31,$688
2015-09-30,$653
2015-06-30,$627
2015-03-31,$495
2014-12-31,$983
2014-09-30,$588
2014-06-30,$513
2014-03-31,$427
2013-12-31,$541
2013-09-30,"$-1,232"
2013-06-30,$418
2013-03-31,$390
2012-12-31,$432
2012-09-30,$359
2012-06-30,$333
2012-03-31,$310
2011-12-31,$382
2011-09-30,$358
2011-06-30,$279
2011-03-31,$262
2010-12-31,$347
2010-09-30,$279
2010-06-30,$208
2010-03-31,$217
2009-12-31,$242
2009-09-30,$150
2009-06-30,$152
2009-03-31,$25
