Rogers Quarterly Net Income (Millions of US $),Rogers Quarterly Net Income (Millions of US $).1
2024-06-30,$8
2024-03-31,$8
2023-12-31,$23
2023-09-30,$19
2023-06-30,$18
2023-03-31,$-4
2022-12-31,$67
2022-09-30,$15
2022-06-30,$18
2022-03-31,$17
2021-12-31,$23
2021-09-30,$25
2021-06-30,$29
2021-03-31,$31
2020-12-31,$15
2020-09-30,$7
2020-06-30,$15
2020-03-31,$13
2019-12-31,$-29
2019-09-30,$23
2019-06-30,$24
2019-03-31,$28
2018-12-31,$24
2018-09-30,$20
2018-06-30,$17
2018-03-31,$26
2017-12-31,$7
2017-09-30,$26
2017-06-30,$21
2017-03-31,$27
2016-12-31,$12
2016-09-30,$16
2016-06-30,$5
2016-03-31,$15
2015-12-31,$7
2015-09-30,$13
2015-06-30,$14
2015-03-31,$14
2014-12-31,$8
2014-09-30,$20
2014-06-30,$11
2014-03-31,$15
2013-12-31,$12
2013-09-30,$14
2013-06-30,$6
2013-03-31,$7
2012-12-31,$5
2012-09-30,$59
2012-06-30,$6
2012-03-31,$-2
2011-12-31,$1
2011-09-30,$14
2011-06-30,$12
2011-03-31,$9
2010-12-31,$11
2010-09-30,$9
2010-06-30,$8
2010-03-31,$7
2009-12-31,$7
2009-09-30,$6
2009-06-30,$-68
2009-03-31,$-9
