Hillenbrand Inc Quarterly Net Income (Millions of US $),Hillenbrand Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$-249
2024-03-31,$6
2023-12-31,$17
2023-09-30,$18
2023-06-30,$43
2023-03-31,$463
2022-12-31,$46
2022-09-30,$57
2022-06-30,$49
2022-03-31,$54
2021-12-31,$49
2021-09-30,$55
2021-06-30,$40
2021-03-31,$78
2020-12-31,$76
2020-09-30,$-7
2020-06-30,$24
2020-03-31,$-74
2019-12-31,$-3
2019-09-30,$25
2019-06-30,$30
2019-03-31,$38
2018-12-31,$28
2018-09-30,$45
2018-06-30,$36
2018-03-31,$-22
2017-12-31,$18
2017-09-30,$38
2017-06-30,$33
2017-03-31,$33
2016-12-31,$22
2016-09-30,$36
2016-06-30,$31
2016-03-31,$26
2015-12-31,$20
2015-09-30,$19
2015-06-30,$32
2015-03-31,$31
2014-12-31,$30
2014-09-30,$24
2014-06-30,$33
2014-03-31,$33
2013-12-31,$20
2013-09-30,$23
2013-06-30,$13
2013-03-31,$13
2012-12-31,$14
2012-09-30,$25
2012-06-30,$21
2012-03-31,$27
2011-12-31,$31
2011-09-30,$24
2011-06-30,$23
2011-03-31,$33
2010-12-31,$27
2010-09-30,$20
2010-06-30,$13
2010-03-31,$29
2009-12-31,$30
2009-09-30,$23
2009-06-30,$25
2009-03-31,$28
