Chimera Investment Quarterly Net Income (Millions of US $),Chimera Investment Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$111
2023-12-31,$12
2023-09-30,$-16
2023-06-30,$18
2023-03-31,$39
2022-12-31,$79
2022-09-30,$-205
2022-06-30,$-180
2022-03-31,$-281
2021-12-31,$-1
2021-09-30,$313
2021-06-30,$145
2021-03-31,$139
2020-12-31,$129
2020-09-30,$349
2020-06-30,$-73
2020-03-31,$-389
2019-12-31,$112
2019-09-30,$88
2019-06-30,$40
2019-03-31,$101
2018-12-31,$-117
2018-09-30,$147
2018-06-30,$109
2018-03-31,$230
2017-12-31,$98
2017-09-30,$130
2017-06-30,$106
2017-03-31,$158
2016-12-31,$219
2016-09-30,$173
2016-06-30,$74
2016-03-31,$83
2015-12-31,$115
2015-09-30,$-48
2015-06-30,$116
2015-03-31,$67
2014-12-31,$6
2014-09-30,$378
2014-06-30,$105
2014-03-31,$100
2013-12-31,$72
2013-09-30,$67
2013-06-30,$143
2013-03-31,$80
2012-12-31,$79
2012-09-30,$128
2012-06-30,$41
2012-03-31,$80
2011-12-31,$43
2011-09-30,$-60
2011-06-30,$54
2011-03-31,$101
2010-12-31,$-118
2010-09-30,$116
2010-06-30,$125
2010-03-31,$126
2009-12-31,$2
2009-09-30,$158
2009-06-30,$52
2009-03-31,$19
