Ares Capital Quarterly Net Income (Millions of US $),Ares Capital Quarterly Net Income (Millions of US $).1
2024-06-30,$322
2024-03-31,$449
2023-12-31,$413
2023-09-30,$500
2023-06-30,$331
2023-03-31,$278
2022-12-31,$174
2022-09-30,$104
2022-06-30,$111
2022-03-31,$211
2021-12-31,$382
2021-09-30,$334
2021-06-30,$478
2021-03-31,$373
2020-12-31,$378
2020-09-30,$441
2020-06-30,$277
2020-03-31,$-612
2019-12-31,$204
2019-09-30,$175
2019-06-30,$200
2019-03-31,$214
2018-12-31,$153
2018-09-30,$209
2018-06-30,$254
2018-03-31,$242
2017-12-31,$232
2017-09-30,$139
2017-06-30,$178
2017-03-31,$118
2016-12-31,$75
2016-09-30,$110
2016-06-30,$157
2016-03-31,$132
2015-12-31,$15
2015-09-30,$117
2015-06-30,$147
2015-03-31,$101
2014-12-31,$153
2014-09-30,$178
2014-06-30,$143
2014-03-31,$117
2013-12-31,$134
2013-09-30,$141
2013-06-30,$133
2013-03-31,$80
2012-12-31,$175
2012-09-30,$137
2012-06-30,$91
2012-03-31,$106
2011-12-31,$118
2011-09-30,$41
2011-06-30,$37
2011-03-31,$124
2010-12-31,$157
2010-09-30,$128
2010-06-30,$330
2010-03-31,$76
2009-12-31,$70
2009-09-30,$63
2009-06-30,$35
2009-03-31,$35
