CACI Quarterly Net Income (Millions of US $),CACI Quarterly Net Income (Millions of US $).1
2024-06-30,$135
2024-03-31,$115
2023-12-31,$84
2023-09-30,$86
2023-06-30,$108
2023-03-31,$101
2022-12-31,$87
2022-09-30,$89
2022-06-30,$93
2022-03-31,$95
2021-12-31,$90
2021-09-30,$88
2021-06-30,$137
2021-03-31,$120
2020-12-31,$106
2020-09-30,$94
2020-06-30,$94
2020-03-31,$81
2019-12-31,$79
2019-09-30,$68
2019-06-30,$50
2019-03-31,$68
2018-12-31,$69
2018-09-30,$79
2018-06-30,$52
2018-03-31,$64
2017-12-31,$143
2017-09-30,$42
2017-06-30,$44
2017-03-31,$40
2016-12-31,$42
2016-09-30,$37
2016-06-30,$44
2016-03-31,$34
2015-12-31,$30
2015-09-30,$35
2015-06-30,$41
2015-03-31,$29
2014-12-31,$25
2014-09-30,$31
2014-06-30,$37
2014-03-31,$31
2013-12-31,$35
2013-09-30,$33
2013-06-30,$38
2013-03-31,$38
2012-12-31,$40
2012-09-30,$36
2012-06-30,$43
2012-03-31,$41
2011-12-31,$41
2011-09-30,$42
2011-06-30,$46
2011-03-31,$36
2010-12-31,$33
2010-09-30,$29
2010-06-30,$30
2010-03-31,$27
2009-12-31,$26
2009-09-30,$24
2009-06-30,$27
2009-03-31,$22
