APA Quarterly Net Income (Millions of US $),APA Quarterly Net Income (Millions of US $).1
2024-06-30,$541
2024-03-31,$132
2023-12-31,"$1,773"
2023-09-30,$459
2023-06-30,$381
2023-03-31,$242
2022-12-31,$443
2022-09-30,$422
2022-06-30,$926
2022-03-31,"$1,883"
2021-12-31,$382
2021-09-30,$-113
2021-06-30,$316
2021-03-31,$388
2020-12-31,$10
2020-09-30,$-4
2020-06-30,$-386
2020-03-31,"$-4,480"
2019-12-31,"$-2,976"
2019-09-30,$-170
2019-06-30,$-360
2019-03-31,$-47
2018-12-31,$-381
2018-09-30,$81
2018-06-30,$195
2018-03-31,$145
2017-12-31,$456
2017-09-30,$63
2017-06-30,$572
2017-03-31,$213
2016-12-31,$-182
2016-09-30,$-607
2016-06-30,$-244
2016-03-31,$-372
2015-12-31,$-698
2015-09-30,"$-4,143"
2015-06-30,$-860
2015-03-31,"$-4,651"
2014-12-31,"$-7,771"
2014-09-30,"$-1,330"
2014-06-30,$505
2014-03-31,$236
2013-12-31,$174
2013-09-30,$300
2013-06-30,"$1,016"
2013-03-31,$698
2012-12-31,$649
2012-09-30,$161
2012-06-30,$337
2012-03-31,$778
2011-12-31,"$1,170"
2011-09-30,$983
2011-06-30,"$1,240"
2011-03-31,"$1,115"
2010-12-31,$670
2010-09-30,$765
2010-06-30,$860
2010-03-31,$705
2009-12-31,$582
2009-09-30,$441
2009-06-30,$443
2009-03-31,"$-1,758"
