Boston Beer Quarterly Net Income (Millions of US $),Boston Beer Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$13
2023-12-31,$-18
2023-09-30,$45
2023-06-30,$58
2023-03-31,$-9
2022-12-31,$-11
2022-09-30,$27
2022-06-30,$53
2022-03-31,$-2
2021-12-31,$-52
2021-09-30,$-58
2021-06-30,$59
2021-03-31,$66
2020-12-31,$33
2020-09-30,$81
2020-06-30,$60
2020-03-31,$18
2019-12-31,$14
2019-09-30,$45
2019-06-30,$28
2019-03-31,$24
2018-12-31,$22
2018-09-30,$38
2018-06-30,$24
2018-03-31,$9
2017-12-31,$31
2017-09-30,$34
2017-06-30,$29
2017-03-31,$6
2016-12-31,$22
2016-09-30,$32
2016-06-30,$27
2016-03-31,$7
2015-12-31,$16
2015-09-30,$39
2015-06-30,$30
2015-03-31,$14
2014-12-31,$19
2014-09-30,$38
2014-06-30,$25
2014-03-31,$8
2013-12-31,$18
2013-09-30,$26
2013-06-30,$20
2013-03-31,$7
2012-12-31,$17
2012-09-30,$21
2012-06-30,$14
2012-03-31,$7
2011-12-31,$18
2011-09-30,$16
2011-06-30,$28
2011-03-31,$4
2010-12-31,$12
2010-09-30,$15
2010-06-30,$16
2010-03-31,$6
2009-12-31,$7
2009-09-30,$10
2009-06-30,$12
2009-03-31,$1
