Invesco Quarterly Net Income (Millions of US $),Invesco Quarterly Net Income (Millions of US $).1
2024-06-30,$132
2024-03-31,$142
2023-12-31,$-742
2023-09-30,$131
2023-06-30,$132
2023-03-31,$145
2022-12-31,$188
2022-09-30,$177
2022-06-30,$121
2022-03-31,$198
2021-12-31,$427
2021-09-30,$330
2021-06-30,$368
2021-03-31,$268
2020-12-31,$211
2020-09-30,$192
2020-06-30,$41
2020-03-31,$82
2019-12-31,$180
2019-09-30,$167
2019-06-30,$40
2019-03-31,$178
2018-12-31,$114
2018-09-30,$270
2018-06-30,$245
2018-03-31,$254
2017-12-31,$422
2017-09-30,$268
2017-06-30,$232
2017-03-31,$206
2016-12-31,$220
2016-09-30,$234
2016-06-30,$219
2016-03-31,$157
2015-12-31,$197
2015-09-30,$243
2015-06-30,$251
2015-03-31,$253
2014-12-31,$256
2014-09-30,$249
2014-06-30,$267
2014-03-31,$188
2013-12-31,$255
2013-09-30,$228
2013-06-30,$203
2013-03-31,$222
2012-12-31,$159
2012-09-30,$171
2012-06-30,$154
2012-03-31,$194
2011-12-31,$202
2011-09-30,$167
2011-06-30,$183
2011-03-31,$178
2010-12-31,$175
2010-09-30,$155
2010-06-30,$41
2010-03-31,$95
2009-12-31,$111
2009-09-30,$105
2009-06-30,$76
2009-03-31,$31
