Jones Lang LaSalle Quarterly Net Income (Millions of US $),Jones Lang LaSalle Quarterly Net Income (Millions of US $).1
2024-06-30,$84
2024-03-31,$66
2023-12-31,$172
2023-09-30,$60
2023-06-30,$3
2023-03-31,$-9
2022-12-31,$175
2022-09-30,$140
2022-06-30,$194
2022-03-31,$146
2021-12-31,$421
2021-09-30,$237
2021-06-30,$200
2021-03-31,$103
2020-12-31,$250
2020-09-30,$132
2020-06-30,$15
2020-03-31,$5
2019-12-31,$274
2019-09-30,$129
2019-06-30,$111
2019-03-31,$21
2018-12-31,$201
2018-09-30,$135
2018-06-30,$108
2018-03-31,$40
2017-12-31,$76
2017-09-30,$98
2017-06-30,$94
2017-03-31,$7
2016-12-31,$177
2016-09-30,$48
2016-06-30,$79
2016-03-31,$26
2015-12-31,$196
2015-09-30,$111
2015-06-30,$90
2015-03-31,$42
2014-12-31,$194
2014-09-30,$104
2014-06-30,$72
2014-03-31,$16
2013-12-31,$147
2013-09-30,$63
2013-06-30,$46
2013-03-31,$13
2012-12-31,$107
2012-09-30,$50
2012-06-30,$37
2012-03-31,$14
2011-12-31,$85
2011-09-30,$34
2011-06-30,$44
2011-03-31,$1
2010-12-31,$84
2010-09-30,$37
2010-06-30,$32
2010-03-31,$0
2009-12-31,$52
2009-09-30,$20
2009-06-30,$-14
2009-03-31,$-61
