Douglas Emmett Quarterly Net Income (Millions of US $),Douglas Emmett Quarterly Net Income (Millions of US $).1
2024-06-30,$11
2024-03-31,$9
2023-12-31,$-41
2023-09-30,$-14
2023-06-30,$-8
2023-03-31,$18
2022-12-31,$24
2022-09-30,$23
2022-06-30,$24
2022-03-31,$25
2021-12-31,$19
2021-09-30,$18
2021-06-30,$16
2021-03-31,$11
2020-12-31,$18
2020-09-30,$4
2020-06-30,$2
2020-03-31,$27
2019-12-31,$277
2019-09-30,$22
2019-06-30,$34
2019-03-31,$29
2018-12-31,$25
2018-09-30,$31
2018-06-30,$32
2018-03-31,$28
2017-12-31,$30
2017-09-30,$26
2017-06-30,$20
2017-03-31,$19
2016-12-31,$20
2016-09-30,$32
2016-06-30,$18
2016-03-31,$15
2015-12-31,$14
2015-09-30,$12
2015-06-30,$13
2015-03-31,$19
2014-12-31,$11
2014-09-30,$7
2014-06-30,$13
2014-03-31,$13
2013-12-31,$9
2013-09-30,$11
2013-06-30,$14
2013-03-31,$12
2012-12-31,$6
2012-09-30,$5
2012-06-30,$7
2012-03-31,$5
2011-12-31,$3
2011-09-30,$3
2011-06-30,$-5
2011-03-31,$-0
2010-12-31,$-5
2010-09-30,$-4
2010-06-30,$-9
2010-03-31,$-8
2009-12-31,$-9
2009-09-30,$-9
2009-06-30,$-7
2009-03-31,$-2
