Avista Quarterly Net Income (Millions of US $),Avista Quarterly Net Income (Millions of US $).1
2024-06-30,$23
2024-03-31,$71
2023-12-31,$84
2023-09-30,$15
2023-06-30,$17
2023-03-31,$55
2022-12-31,$78
2022-09-30,$-6
2022-06-30,$11
2022-03-31,$72
2021-12-31,$51
2021-09-30,$14
2021-06-30,$14
2021-03-31,$68
2020-12-31,$59
2020-09-30,$5
2020-06-30,$17
2020-03-31,$48
2019-12-31,$51
2019-09-30,$5
2019-06-30,$25
2019-03-31,$116
2018-12-31,$46
2018-09-30,$10
2018-06-30,$26
2018-03-31,$55
2017-12-31,$28
2017-09-30,$4
2017-06-30,$22
2017-03-31,$62
2016-12-31,$40
2016-09-30,$12
2016-06-30,$27
2016-03-31,$58
2015-12-31,$39
2015-09-30,$13
2015-06-30,$25
2015-03-31,$46
2014-12-31,$32
2014-09-30,$10
2014-06-30,$101
2014-03-31,$48
2013-12-31,$32
2013-09-30,$11
2013-06-30,$26
2013-03-31,$42
2012-12-31,$16
2012-09-30,$6
2012-06-30,$18
2012-03-31,$38
2011-12-31,$25
2011-09-30,$11
2011-06-30,$23
2011-03-31,$42
2010-12-31,$26
2010-09-30,$12
2010-06-30,$26
2010-03-31,$29
2009-12-31,$22
2009-09-30,$8
2009-06-30,$26
2009-03-31,$31
