Progress Software Quarterly Net Income (Millions of US $),Progress Software Quarterly Net Income (Millions of US $).1
2024-08-31,$28
2024-05-31,$16
2024-02-29,$23
2023-11-30,$15
2023-08-31,$19
2023-05-31,$12
2023-02-28,$24
2022-11-30,$24
2022-08-31,$22
2022-05-31,$29
2022-02-28,$20
2021-11-30,$15
2021-08-31,$31
2021-05-31,$14
2021-02-28,$19
2020-11-30,$18
2020-08-31,$24
2020-05-31,$17
2020-02-29,$21
2019-11-30,$-5
2019-08-31,$14
2019-05-31,$8
2019-02-28,$9
2018-11-30,$9
2018-08-31,$14
2018-05-31,$13
2018-02-28,$14
2017-11-30,$8
2017-08-31,$11
2017-05-31,$10
2017-02-28,$-1
2016-11-30,$-74
2016-08-31,$8
2016-05-31,$7
2016-02-29,$3
2015-11-30,$-9
2015-08-31,$-4
2015-05-31,$6
2015-02-28,$-1
2014-11-30,$14
2014-08-31,$11
2014-05-31,$13
2014-02-28,$11
2013-11-30,$15
2013-08-31,$25
2013-05-31,$4
2013-02-28,$31
2012-11-30,$36
2012-08-31,$6
2012-05-31,$-2
2012-02-29,$7
2011-11-30,$12
2011-08-31,$9
2011-05-31,$18
2011-02-28,$21
2010-11-30,$21
2010-08-31,$9
2010-05-31,$19
2010-02-28,$-1
2009-11-30,$17
2009-08-31,$6
2009-05-31,$7
2009-02-28,$4
