Weibo Quarterly Net Income (Millions of US $),Weibo Quarterly Net Income (Millions of US $).1
2024-06-30,$112
2024-03-31,$49
2023-12-31,$83
2023-09-30,$77
2023-06-30,$81
2023-03-31,$100
2022-12-31,$142
2022-09-30,$-17
2022-06-30,$28
2022-03-31,$-68
2021-12-31,$116
2021-09-30,$182
2021-06-30,$81
2021-03-31,$50
2020-12-31,$29
2020-09-30,$34
2020-06-30,$198
2020-03-31,$52
2019-12-31,$95
2019-09-30,$146
2019-06-30,$103
2019-03-31,$150
2018-12-31,$167
2018-09-30,$165
2018-06-30,$141
2018-03-31,$99
2017-12-31,$131
2017-09-30,$101
2017-06-30,$74
2017-03-31,$47
2016-12-31,$43
2016-09-30,$32
2016-06-30,$26
2016-03-31,$7
2015-12-31,$19
2015-09-30,$14
2015-06-30,$4
2015-03-31,$-3
2014-12-31,$5
2014-09-30,$-5
2014-06-30,$-15
2014-03-31,$-47
2013-12-31,
2013-09-30,$-5
2013-06-30,$-35
