Axis Capital Holdings Quarterly Net Income (Millions of US $),Axis Capital Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$204
2024-03-31,$388
2023-12-31,$-150
2023-09-30,$181
2023-06-30,$143
2023-03-31,$173
2022-12-31,$41
2022-09-30,$-17
2022-06-30,$27
2022-03-31,$142
2021-12-31,$197
2021-09-30,$47
2021-06-30,$228
2021-03-31,$116
2020-12-31,$-5
2020-09-30,$-73
2020-06-30,$112
2020-03-31,$-185
2019-12-31,$-10
2019-09-30,$28
2019-06-30,$166
2019-03-31,$98
2018-12-31,$-198
2018-09-30,$43
2018-06-30,$93
2018-03-31,$63
2017-12-31,$-38
2017-09-30,$-468
2017-06-30,$85
2017-03-31,$5
2016-12-31,$131
2016-09-30,$177
2016-06-30,$119
2016-03-31,$38
2015-12-31,$135
2015-09-30,$248
2015-06-30,$63
2015-03-31,$156
2014-12-31,$164
2014-09-30,$279
2014-06-30,$191
2014-03-31,$137
2013-12-31,$172
2013-09-30,$137
2013-06-30,$72
2013-03-31,$303
2012-12-31,$-19
2012-09-30,$223
2012-06-30,$168
2012-03-31,$122
2011-12-31,$80
2011-09-30,$212
2011-06-30,$101
2011-03-31,$-384
2010-12-31,$264
2010-09-30,$239
2010-06-30,$205
2010-03-31,$112
2009-12-31,$282
2009-09-30,$-96
2009-06-30,$159
2009-03-31,$116
