Southern Copper Quarterly Net Income (Millions of US $),Southern Copper Quarterly Net Income (Millions of US $).1
2024-06-30,$950
2024-03-31,$736
2023-12-31,$445
2023-09-30,$620
2023-06-30,$548
2023-03-31,$813
2022-12-31,$903
2022-09-30,$519
2022-06-30,$432
2022-03-31,$785
2021-12-31,$833
2021-09-30,$868
2021-06-30,$933
2021-03-31,$764
2020-12-31,$590
2020-09-30,$506
2020-06-30,$260
2020-03-31,$215
2019-12-31,$306
2019-09-30,$390
2019-06-30,$402
2019-03-31,$388
2018-12-31,$293
2018-09-30,$369
2018-06-30,$410
2018-03-31,$471
2017-12-31,$-287
2017-09-30,$402
2017-06-30,$300
2017-03-31,$314
2016-12-31,$172
2016-09-30,$198
2016-06-30,$222
2016-03-31,$185
2015-12-31,$61
2015-09-30,$98
2015-06-30,$295
2015-03-31,$282
2014-12-31,$348
2014-09-30,$324
2014-06-30,$337
2014-03-31,$323
2013-12-31,$406
2013-09-30,$344
2013-06-30,$373
2013-03-31,$495
2012-12-31,$532
2012-09-30,$218
2012-06-30,$564
2012-03-31,$621
2011-12-31,$537
2011-09-30,$663
2011-06-30,$658
2011-03-31,$478
2010-12-31,$492
2010-09-30,$365
2010-06-30,$313
2010-03-31,$383
2009-12-31,$363
2009-09-30,$312
2009-06-30,$175
2009-03-31,$79
