Barnes Quarterly Net Income (Millions of US $),Barnes Quarterly Net Income (Millions of US $).1
2024-06-30,$-47
2024-03-31,$2
2023-12-31,$7
2023-09-30,$-22
2023-06-30,$17
2023-03-31,$13
2022-12-31,$16
2022-09-30,$17
2022-06-30,$-40
2022-03-31,$20
2021-12-31,$28
2021-09-30,$28
2021-06-30,$24
2021-03-31,$19
2020-12-31,$18
2020-09-30,$15
2020-06-30,$1
2020-03-31,$30
2019-12-31,$41
2019-09-30,$46
2019-06-30,$38
2019-03-31,$34
2018-12-31,$39
2018-09-30,$39
2018-06-30,$49
2018-03-31,$39
2017-12-31,$-59
2017-09-30,$35
2017-06-30,$45
2017-03-31,$38
2016-12-31,$37
2016-09-30,$37
2016-06-30,$33
2016-03-31,$29
2015-12-31,$24
2015-09-30,$34
2015-06-30,$34
2015-03-31,$29
2014-12-31,$32
2014-09-30,$34
2014-06-30,$30
2014-03-31,$23
2013-12-31,$27
2013-09-30,$21
2013-06-30,$209
2013-03-31,$13
2012-12-31,$30
2012-09-30,$18
2012-06-30,$25
2012-03-31,$22
2011-12-31,$0
2011-09-30,$23
2011-06-30,$22
2011-03-31,$19
2010-12-31,$12
2010-09-30,$15
2010-06-30,$15
2010-03-31,$12
2009-12-31,$6
2009-09-30,$11
2009-06-30,$10
2009-03-31,$11
