Levi Strauss Quarterly Net Income (Millions of US $),Levi Strauss Quarterly Net Income (Millions of US $).1
2024-05-31,$18
2024-02-29,$-11
2023-11-30,$127
2023-08-31,$10
2023-05-31,$-2
2023-02-28,$115
2022-11-30,$151
2022-08-31,$173
2022-05-31,$50
2022-02-28,$196
2021-11-30,$153
2021-08-31,$193
2021-05-31,$65
2021-02-28,$143
2020-11-30,$57
2020-08-31,$27
2020-05-31,$-364
2020-02-29,$153
2019-11-30,$95
2019-08-31,$125
2019-05-31,$28
2019-02-28,$147
2018-11-30,$97
2018-08-31,$130
2018-05-31,$75
2018-02-28,$-19
2017-11-30,$116
2017-08-31,$88
2017-05-31,$18
2017-02-28,$60
2016-11-30,$96
2016-08-31,$98
2016-05-31,$31
2016-02-29,$66
2015-11-30,$101
2015-08-31,$58
2015-05-31,$12
2015-02-28,$38
2014-11-30,$-6
2014-08-31,$51
2014-05-31,$11
2014-02-28,$50
2013-11-30,$17
2013-08-31,$57
2013-05-31,$48
2013-02-28,$107
2012-11-30,$53
2012-08-31,$28
2012-05-31,$13
2012-02-29,$49
2011-11-30,$44
2011-08-31,$32
2011-05-31,$21
2011-02-28,$41
2010-11-30,$86
2010-08-31,$28
2010-05-31,$-14
2010-02-28,$56
2009-11-30,$67
2009-08-31,$41
2009-05-31,$-4
2009-02-28,$48
