BancFirst Quarterly Net Income (Millions of US $),BancFirst Quarterly Net Income (Millions of US $).1
2024-06-30,$51
2024-03-31,$50
2023-12-31,$49
2023-09-30,$51
2023-06-30,$55
2023-03-31,$58
2022-12-31,$57
2022-09-30,$55
2022-06-30,$45
2022-03-31,$36
2021-12-31,$38
2021-09-30,$39
2021-06-30,$48
2021-03-31,$43
2020-12-31,$35
2020-09-30,$21
2020-06-30,$21
2020-03-31,$23
2019-12-31,$36
2019-09-30,$33
2019-06-30,$34
2019-03-31,$32
2018-12-31,$33
2018-09-30,$33
2018-06-30,$31
2018-03-31,$30
2017-12-31,$19
2017-09-30,$22
2017-06-30,$23
2017-03-31,$22
2016-12-31,$19
2016-09-30,$18
2016-06-30,$17
2016-03-31,$17
2015-12-31,$16
2015-09-30,$16
2015-06-30,$19
2015-03-31,$16
2014-12-31,$16
2014-09-30,$19
2014-06-30,$15
2014-03-31,$15
2013-12-31,$14
2013-09-30,$14
2013-06-30,$13
2013-03-31,$13
2012-12-31,$12
2012-09-30,$14
2012-06-30,$12
2012-03-31,$14
2011-12-31,$12
2011-09-30,$13
2011-06-30,$10
2011-03-31,$11
2010-12-31,$10
2010-09-30,$12
2010-06-30,$11
2010-03-31,$9
2009-12-31,$10
2009-09-30,$9
2009-06-30,$6
2009-03-31,$7
