Trustmark Quarterly Net Income (Millions of US $),Trustmark Quarterly Net Income (Millions of US $).1
2024-06-30,$74
2024-03-31,$42
2023-12-31,$36
2023-09-30,$34
2023-06-30,$45
2023-03-31,$50
2022-12-31,$-34
2022-09-30,$42
2022-06-30,$34
2022-03-31,$29
2021-12-31,$26
2021-09-30,$21
2021-06-30,$48
2021-03-31,$52
2020-12-31,$51
2020-09-30,$54
2020-06-30,$32
2020-03-31,$22
2019-12-31,$34
2019-09-30,$41
2019-06-30,$42
2019-03-31,$33
2018-12-31,$37
2018-09-30,$36
2018-06-30,$40
2018-03-31,$37
2017-12-31,$16
2017-09-30,$35
2017-06-30,$24
2017-03-31,$31
2016-12-31,$29
2016-09-30,$31
2016-06-30,$22
2016-03-31,$27
2015-12-31,$28
2015-09-30,$28
2015-06-30,$31
2015-03-31,$29
2014-12-31,$28
2014-09-30,$34
2014-06-30,$33
2014-03-31,$29
2013-12-31,$28
2013-09-30,$33
2013-06-30,$31
2013-03-31,$25
2012-12-31,$28
2012-09-30,$30
2012-06-30,$29
2012-03-31,$30
2011-12-31,$24
2011-09-30,$27
2011-06-30,$32
2011-03-31,$24
2010-12-31,$25
2010-09-30,$26
2010-06-30,$26
2010-03-31,$23
2009-12-31,$14
2009-09-30,$22
2009-06-30,$13
2009-03-31,$23
