Flex LNG Quarterly Net Income (Millions of US $),Flex LNG Quarterly Net Income (Millions of US $).1
2024-06-30,$22
2024-03-31,$33
2023-12-31,$19
2023-09-30,$45
2023-06-30,$39
2023-03-31,$17
2022-12-31,$41
2022-09-30,$47
2022-06-30,$44
2022-03-31,$56
2021-12-31,$69
2021-09-30,$33
2021-06-30,$13
2021-03-31,$47
2020-12-31,$26
2020-09-30,$4
2020-06-30,$-7
2020-03-31,$-15
2019-12-31,$24
2019-09-30,$0
2019-06-30,$-4
2019-03-31,$-3
2018-12-31,$-2
2018-09-30,$1
2018-06-30,$-3
2018-03-31,$15
2017-12-31,
