HNI Quarterly Net Income (Millions of US $),HNI Quarterly Net Income (Millions of US $).1
2024-06-30,$36
2024-03-31,$18
2023-12-31,$23
2023-09-30,$38
2023-06-30,$-13
2023-03-31,$2
2022-12-31,$16
2022-09-30,$63
2022-06-30,$30
2022-03-31,$14
2021-12-31,$8
2021-09-30,$19
2021-06-30,$17
2021-03-31,$15
2020-12-31,$23
2020-09-30,$31
2020-06-30,$13
2020-03-31,$-24
2019-12-31,$48
2019-09-30,$46
2019-06-30,$16
2019-03-31,$1
2018-12-31,$32
2018-09-30,$40
2018-06-30,$19
2018-03-31,$3
2017-12-31,$34
2017-09-30,$37
2017-06-30,$14
2017-03-31,$5
2016-12-31,$11
2016-09-30,$34
2016-06-30,$29
2016-03-31,$12
2015-12-31,$32
2015-09-30,$41
2015-06-30,$24
2015-03-31,$8
2014-12-31,$7
2014-09-30,$34
2014-06-30,$10
2014-03-31,$11
2013-12-31,$23
2013-09-30,$28
2013-06-30,$11
2013-03-31,$1
2012-12-31,$18
2012-09-30,$24
2012-06-30,$7
2012-03-31,$-0
2011-12-31,$18
2011-09-30,$25
2011-06-30,$5
2011-03-31,$-2
2010-12-31,$13
2010-09-30,$16
2010-06-30,$5
2010-03-31,$-6
2009-12-31,$-11
2009-09-30,$18
2009-06-30,$-1
2009-03-31,$-12
