ConocoPhillips Quarterly Net Income (Millions of US $),ConocoPhillips Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,322"
2024-03-31,"$2,542"
2023-12-31,"$3,026"
2023-09-30,"$2,798"
2023-06-30,"$2,224"
2023-03-31,"$2,909"
2022-12-31,"$3,249"
2022-09-30,"$4,527"
2022-06-30,"$5,145"
2022-03-31,"$5,759"
2021-12-31,"$2,627"
2021-09-30,"$2,379"
2021-06-30,"$2,091"
2021-03-31,$982
2020-12-31,$-772
2020-09-30,$-450
2020-06-30,$260
2020-03-31,"$-1,739"
2019-12-31,$720
2019-09-30,"$3,056"
2019-06-30,"$1,580"
2019-03-31,"$1,833"
2018-12-31,"$1,868"
2018-09-30,"$1,861"
2018-06-30,"$1,640"
2018-03-31,$888
2017-12-31,"$1,579"
2017-09-30,$420
2017-06-30,"$-3,440"
2017-03-31,$586
2016-12-31,$-35
2016-09-30,"$-1,040"
2016-06-30,"$-1,071"
2016-03-31,"$-1,469"
2015-12-31,"$-3,450"
2015-09-30,"$-1,071"
2015-06-30,$-179
2015-03-31,$272
2014-12-31,$-39
2014-09-30,"$2,704"
2014-06-30,"$2,081"
2014-03-31,"$2,123"
2013-12-31,"$2,487"
2013-09-30,"$2,480"
2013-06-30,"$2,050"
2013-03-31,"$2,139"
2012-12-31,"$1,426"
2012-09-30,"$1,798"
2012-06-30,"$2,267"
2012-03-31,"$2,937"
2011-12-31,"$3,390"
2011-09-30,"$2,616"
2011-06-30,"$3,402"
2011-03-31,"$3,028"
2010-12-31,"$2,041"
2010-09-30,"$3,055"
2010-06-30,"$4,164"
2010-03-31,"$2,098"
2009-12-31,"$1,285"
2009-09-30,"$1,470"
2009-06-30,$859
2009-03-31,$800
