Roblox Quarterly Net Income (Millions of US $),Roblox Quarterly Net Income (Millions of US $).1
2024-06-30,$-206
2024-03-31,$-271
2023-12-31,$-324
2023-09-30,$-277
2023-06-30,$-283
2023-03-31,$-268
2022-12-31,$-290
2022-09-30,$-298
2022-06-30,$-176
2022-03-31,$-160
2021-12-31,$-143
2021-09-30,$-74
2021-06-30,$-140
2021-03-31,$-134
2020-12-31,$-59
2020-09-30,$-49
2020-06-30,$-72
2020-03-31,$-74
2019-12-31,
2018-12-31,
