Potlatch Quarterly Net Income (Millions of US $),Potlatch Quarterly Net Income (Millions of US $).1
2024-06-30,$14
2024-03-31,$-0
2023-12-31,$-0
2023-09-30,$24
2023-06-30,$22
2023-03-31,$16
2022-12-31,$4
2022-09-30,$46
2022-06-30,$120
2022-03-31,$164
2021-12-31,$39
2021-09-30,$66
2021-06-30,$188
2021-03-31,$131
2020-12-31,$100
2020-09-30,$81
2020-06-30,$3
2020-03-31,$-17
2019-12-31,$11
2019-09-30,$21
2019-06-30,$17
2019-03-31,$7
2018-12-31,$2
2018-09-30,$60
2018-06-30,$46
2018-03-31,$15
2017-12-31,$12
2017-09-30,$34
2017-06-30,$24
2017-03-31,$17
2016-12-31,$14
2016-09-30,$28
2016-06-30,$-31
2016-03-31,$0
2015-12-31,$4
2015-09-30,$22
2015-06-30,$1
2015-03-31,$6
2014-12-31,$20
2014-09-30,$33
2014-06-30,$16
2014-03-31,$20
2013-12-31,$14
2013-09-30,$22
2013-06-30,$19
2013-03-31,$15
2012-12-31,$14
2012-09-30,$19
2012-06-30,$5
2012-03-31,$5
2011-12-31,$-1
2011-09-30,$26
2011-06-30,$8
2011-03-31,$8
2010-12-31,$9
2010-09-30,$18
2010-06-30,$12
2010-03-31,$1
2009-12-31,$3
2009-09-30,$46
2009-06-30,$4
2009-03-31,$25
