Triumph Quarterly Net Income (Millions of US $),Triumph Quarterly Net Income (Millions of US $).1
2024-06-30,$-14
2024-03-31,$548
2023-12-31,$-16
2023-09-30,$-1
2023-06-30,$-18
2023-03-31,$-18
2022-12-31,$11
2022-09-30,$107
2022-06-30,$-10
2022-03-31,$-11
2021-12-31,$7
2021-09-30,$-9
2021-06-30,$-30
2021-03-31,$-74
2020-12-31,$-68
2020-09-30,$-33
2020-06-30,$-276
2020-03-31,$-77
2019-12-31,$-13
2019-09-30,$42
2019-06-30,$18
2019-03-31,$-205
2018-12-31,$-31
2018-09-30,$-15
2018-06-30,$-77
2018-03-31,$-305
2017-12-31,$-113
2017-09-30,$-5
2017-06-30,$-2
2017-03-31,$-127
2016-12-31,$29
2016-09-30,$35
2016-06-30,$20
2016-03-31,"$-1,084"
2015-12-31,$-89
2015-09-30,$62
2015-06-30,$63
2015-03-31,$83
2014-12-31,$-40
2014-09-30,$67
2014-06-30,$128
2014-03-31,$42
2013-12-31,$35
2013-09-30,$50
2013-06-30,$79
2013-03-31,$66
2012-12-31,$75
2012-09-30,$80
2012-06-30,$76
2012-03-31,$106
2011-12-31,$66
2011-09-30,$58
2011-06-30,$50
2011-03-31,$52
2010-12-31,$45
2010-09-30,$42
2010-06-30,$11
2010-03-31,$25
2009-12-31,$6
2009-09-30,$19
2009-06-30,$18
2009-03-31,$21
