TechnipFMC Quarterly Net Income (Millions of US $),TechnipFMC Quarterly Net Income (Millions of US $).1
2024-06-30,$187
2024-03-31,$157
2023-12-31,$53
2023-09-30,$90
2023-06-30,$-87
2023-03-31,$0
2022-12-31,$-37
2022-09-30,$-10
2022-06-30,$2
2022-03-31,$-62
2021-12-31,$-156
2021-09-30,$-32
2021-06-30,$-167
2021-03-31,$368
2020-12-31,$-39
2020-09-30,$-4
2020-06-30,$12
2020-03-31,"$-3,256"
2019-12-31,"$-2,414"
2019-09-30,$-119
2019-06-30,$97
2019-03-31,$21
2018-12-31,"$-2,259"
2018-09-30,$137
2018-06-30,$106
2018-03-31,$95
2017-12-31,$-154
2017-09-30,$121
2017-06-30,$165
2017-03-31,$-19
2016-12-31,$-11
2016-09-30,$302
2016-06-30,$104
2016-03-31,$121
2015-12-31,$56
2015-09-30,$82
2015-06-30,$108
2015-03-31,$148
2014-12-31,$169
2014-09-30,$170
2014-06-30,$226
2014-03-31,$135
2013-12-31,$178
2013-09-30,$116
2013-06-30,$105
2013-03-31,$102
2012-12-31,$120
2012-09-30,$99
2012-06-30,$112
2012-03-31,$99
2011-12-31,$99
2011-09-30,$121
2011-06-30,$94
2011-03-31,$85
2010-12-31,$99
2010-09-30,$81
2010-06-30,$96
2010-03-31,$99
2009-12-31,$93
2009-09-30,$92
2009-06-30,$106
2009-03-31,$71
