Stifel Financial Quarterly Net Income (Millions of US $),Stifel Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$156
2024-03-31,$154
2023-12-31,$153
2023-09-30,$59
2023-06-30,$125
2023-03-31,$148
2022-12-31,$167
2022-09-30,$142
2022-06-30,$151
2022-03-31,$164
2021-12-31,$252
2021-09-30,$183
2021-06-30,$190
2021-03-31,$165
2020-12-31,$181
2020-09-30,$111
2020-06-30,$103
2020-03-31,$82
2019-12-31,$126
2019-09-30,$105
2019-06-30,$104
2019-03-31,$97
2018-12-31,$112
2018-09-30,$102
2018-06-30,$85
2018-03-31,$86
2017-12-31,$-4
2017-09-30,$64
2017-06-30,$50
2017-03-31,$63
2016-12-31,$25
2016-09-30,$16
2016-06-30,$10
2016-03-31,$27
2015-12-31,$11
2015-09-30,$17
2015-06-30,$21
2015-03-31,$43
2014-12-31,$45
2014-09-30,$40
2014-06-30,$44
2014-03-31,$47
2013-12-31,$48
2013-09-30,$70
2013-06-30,$29
2013-03-31,$15
2012-12-31,$40
2012-09-30,$38
2012-06-30,$26
2012-03-31,$35
2011-12-31,$27
2011-09-30,$22
2011-06-30,$3
2011-03-31,$31
2010-12-31,$41
2010-09-30,$-84
2010-06-30,$21
2010-03-31,$24
2009-12-31,$25
2009-09-30,$22
2009-06-30,$16
2009-03-31,$13
