Asbury Automotive Quarterly Net Income (Millions of US $),Asbury Automotive Quarterly Net Income (Millions of US $).1
2024-06-30,$28
2024-03-31,$147
2023-12-31,$56
2023-09-30,$169
2023-06-30,$196
2023-03-31,$181
2022-12-31,$353
2022-09-30,$205
2022-06-30,$201
2022-03-31,$238
2021-12-31,$141
2021-09-30,$147
2021-06-30,$152
2021-03-31,$93
2020-12-31,$89
2020-09-30,$96
2020-06-30,$50
2020-03-31,$20
2019-12-31,$44
2019-09-30,$45
2019-06-30,$55
2019-03-31,$41
2018-12-31,$40
2018-09-30,$44
2018-06-30,$43
2018-03-31,$40
2017-12-31,$43
2017-09-30,$31
2017-06-30,$32
2017-03-31,$34
2016-12-31,$67
2016-09-30,$32
2016-06-30,$37
2016-03-31,$31
2015-12-31,$41
2015-09-30,$51
2015-06-30,$41
2015-03-31,$36
2014-12-31,$12
2014-09-30,$33
2014-06-30,$36
2014-03-31,$31
2013-12-31,$27
2013-09-30,$23
2013-06-30,$27
2013-03-31,$33
2012-12-31,$23
2012-09-30,$21
2012-06-30,$21
2012-03-31,$18
2011-12-31,$22
2011-09-30,$12
2011-06-30,$14
2011-03-31,$20
2010-12-31,$5
2010-09-30,$13
2010-06-30,$13
2010-03-31,$7
2009-12-31,$0
2009-09-30,$7
2009-06-30,$6
2009-03-31,$0
