Neogen Quarterly Net Income (Millions of US $),Neogen Quarterly Net Income (Millions of US $).1
2024-08-31,$-13
2024-05-31,$-5
2024-02-29,$-2
2023-11-30,$-3
2023-08-31,$2
2023-05-31,$6
2023-02-28,$8
2022-11-30,$-42
2022-08-31,$5
2022-05-31,$15
2022-02-28,$5
2021-11-30,$11
2021-08-31,$17
2021-05-31,$16
2021-02-28,$13
2020-11-30,$16
2020-08-31,$16
2020-05-31,$16
2020-02-29,$12
2019-11-30,$16
2019-08-31,$15
2019-05-31,$16
2019-02-28,$13
2018-11-30,$16
2018-08-31,$15
2018-05-31,$18
2018-02-28,$17
2017-11-30,$17
2017-08-31,$12
2017-05-31,$12
2017-02-28,$10
2016-11-30,$11
2016-08-31,$10
2016-05-31,$10
2016-02-29,$8
2015-11-30,$9
2015-08-31,$9
2015-05-31,$9
2015-02-28,$7
2014-11-30,$8
2014-08-31,$9
2014-05-31,$8
2014-02-28,$7
2013-11-30,$6
2013-08-31,$8
2013-05-31,$7
2013-02-28,$7
2012-11-30,$7
2012-08-31,$7
2012-05-31,$6
2012-02-29,$5
2011-11-30,$5
2011-08-31,$6
2011-05-31,$6
2011-02-28,$5
2010-11-30,$6
2010-08-31,$6
2010-05-31,$5
2010-02-28,$4
2009-11-30,$5
2009-08-31,$4
2009-05-31,$3
2009-02-28,$3
