Teekay Tankers Quarterly Net Income (Millions of US $),Teekay Tankers Quarterly Net Income (Millions of US $).1
2024-06-30,$107
2024-03-31,$145
2023-12-31,$112
2023-09-30,$81
2023-06-30,$151
2023-03-31,$169
2022-12-31,$146
2022-09-30,$68
2022-06-30,$29
2022-03-31,$-14
2021-12-31,$-40
2021-09-30,$-52
2021-06-30,$-129
2021-03-31,$-21
2020-12-31,$-73
2020-09-30,$-44
2020-06-30,$98
2020-03-31,$107
2019-12-31,$63
2019-09-30,$-20
2019-06-30,$-14
2019-03-31,$12
2018-12-31,$12
2018-09-30,$-17
2018-06-30,$-27
2018-03-31,$-19
2017-12-31,$-39
2017-09-30,$-22
2017-06-30,
2017-03-31,$4
2016-12-31,$10
2016-09-30,$-5
2016-06-30,$24
2016-03-31,$39
2015-12-31,$51
2015-09-30,$41
2015-06-30,$45
2015-03-31,$40
2014-12-31,$20
2014-09-30,$6
2014-06-30,$5
2014-03-31,$26
2013-12-31,$14
2013-09-30,$-15
2013-06-30,$-6
2013-03-31,$-2
2012-12-31,$-366
2012-09-30,$-10
2012-06-30,$1
2012-03-31,$4
2011-12-31,$-0
2011-09-30,$-17
2011-06-30,$1
2011-03-31,$7
2010-12-31,$9
2010-09-30,$-0
2010-06-30,$2
2010-03-31,$5
2009-12-31,$8
2009-09-30,$-2
2009-06-30,$16
2009-03-31,$14
