Stride Quarterly Net Income (Millions of US $),Stride Quarterly Net Income (Millions of US $).1
2024-06-30,$63
2024-03-31,$70
2023-12-31,$67
2023-09-30,$5
2023-06-30,$43
2023-03-31,$55
2022-12-31,$51
2022-09-30,$-23
2022-06-30,$28
2022-03-31,$43
2021-12-31,$42
2021-09-30,$-6
2021-06-30,$10
2021-03-31,$24
2020-12-31,$25
2020-09-30,$13
2020-06-30,$5
2020-03-31,$9
2019-12-31,$21
2019-09-30,$-10
2019-06-30,$3
2019-03-31,$18
2018-12-31,$24
2018-09-30,$-8
2018-06-30,$9
2018-03-31,$13
2017-12-31,$13
2017-09-30,$-8
2017-06-30,$-6
2017-03-31,$9
2016-12-31,$12
2016-09-30,$-14
2016-06-30,$-1
2016-03-31,$14
2015-12-31,$9
2015-09-30,$-13
2015-06-30,$-12
2015-03-31,$17
2014-12-31,$12
2014-09-30,$-7
2014-06-30,$12
2014-03-31,$16
2013-12-31,$-4
2013-09-30,$-5
2013-06-30,$1
2013-03-31,$12
2012-12-31,$10
2012-09-30,$4
2012-06-30,$2
2012-03-31,$6
2011-12-31,$4
2011-09-30,$4
2011-06-30,$-3
2011-03-31,$5
2010-12-31,$7
2010-09-30,$2
2010-06-30,$-1
2010-03-31,$6
2009-12-31,$10
2009-09-30,$7
2009-06-30,$-1
2009-03-31,$4
