Kinross Gold Quarterly Net Income (Millions of US $),Kinross Gold Quarterly Net Income (Millions of US $).1
2024-06-30,$211
2024-03-31,$107
2023-12-31,$65
2023-09-30,$110
2023-06-30,$151
2023-03-31,$90
2022-12-31,$-106
2022-09-30,$65
2022-06-30,$-40
2022-03-31,$-524
2021-12-31,$27
2021-09-30,$-45
2021-06-30,$89
2021-03-31,$150
2020-12-31,$783
2020-09-30,$241
2020-06-30,$196
2020-03-31,$123
2019-12-31,$522
2019-09-30,$61
2019-06-30,$72
2019-03-31,$65
2018-12-31,$-28
2018-09-30,$-104
2018-06-30,$2
2018-03-31,$106
2017-12-31,$218
2017-09-30,$60
2017-06-30,$33
2017-03-31,$135
2016-12-31,$-117
2016-09-30,$3
2016-06-30,$-25
2016-03-31,$35
2015-12-31,$-842
2015-09-30,$-53
2015-06-30,$-83
2015-03-31,$-7
2014-12-31,"$-1,474"
2014-09-30,$-5
2014-06-30,$44
2014-03-31,$30
2013-12-31,$-742
2013-09-30,$42
2013-06-30,"$-3,204"
2013-03-31,$161
2012-12-31,"$-2,989"
2012-09-30,$225
2012-06-30,$154
2012-03-31,$106
2011-12-31,"$-2,784"
2011-09-30,$213
2011-06-30,$247
2011-03-31,$256
2010-12-31,$210
2010-09-30,$347
2010-06-30,$104
2010-03-31,$111
2009-12-31,$236
2009-09-30,$-22
2009-06-30,$19
2009-03-31,$77
