Disney Quarterly Net Income (Millions of US $),Disney Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,621"
2024-03-31,$-20
2023-12-31,"$1,911"
2023-09-30,$264
2023-06-30,$-460
2023-03-31,"$1,271"
2022-12-31,"$1,279"
2022-09-30,$162
2022-06-30,"$1,409"
2022-03-31,$470
2021-12-31,"$1,104"
2021-09-30,$159
2021-06-30,$918
2021-03-31,$901
2020-12-31,$17
2020-09-30,$-710
2020-06-30,"$-4,721"
2020-03-31,$460
2019-12-31,"$2,107"
2019-09-30,"$1,054"
2019-06-30,"$1,760"
2019-03-31,"$5,452"
2018-12-31,"$2,788"
2018-09-30,"$2,322"
2018-06-30,"$2,916"
2018-03-31,"$2,937"
2017-12-31,"$4,423"
2017-09-30,"$1,747"
2017-06-30,"$2,366"
2017-03-31,"$2,388"
2016-12-31,"$2,479"
2016-09-30,"$1,771"
2016-06-30,"$2,597"
2016-03-31,"$2,143"
2015-12-31,"$2,880"
2015-09-30,"$1,609"
2015-06-30,"$2,483"
2015-03-31,"$2,108"
2014-12-31,"$2,182"
2014-09-30,"$1,499"
2014-06-30,"$2,245"
2014-03-31,"$1,917"
2013-12-31,"$1,840"
2013-09-30,"$1,394"
2013-06-30,"$1,847"
2013-03-31,"$1,513"
2012-12-31,"$1,382"
2012-09-30,"$1,244"
2012-06-30,"$1,831"
2012-03-31,"$1,143"
2011-12-31,"$1,464"
2011-09-30,"$1,087"
2011-06-30,"$1,476"
2011-03-31,$942
2010-12-31,"$1,302"
2010-09-30,$835
2010-06-30,"$1,331"
2010-03-31,$953
2009-12-31,$844
2009-09-30,$895
2009-06-30,$954
2009-03-31,$613
