Northwest Bancshares Quarterly Net Income (Millions of US $),Northwest Bancshares Quarterly Net Income (Millions of US $).1
2024-06-30,$5
2024-03-31,$29
2023-12-31,$29
2023-09-30,$39
2023-06-30,$33
2023-03-31,$34
2022-12-31,$35
2022-09-30,$37
2022-06-30,$33
2022-03-31,$28
2021-12-31,$30
2021-09-30,$35
2021-06-30,$49
2021-03-31,$40
2020-12-31,$35
2020-09-30,$38
2020-06-30,$-6
2020-03-31,$8
2019-12-31,$26
2019-09-30,$33
2019-06-30,$26
2019-03-31,$25
2018-12-31,$26
2018-09-30,$28
2018-06-30,$26
2018-03-31,$25
2017-12-31,$22
2017-09-30,$24
2017-06-30,$31
2017-03-31,$18
2016-12-31,$24
2016-09-30,$14
2016-06-30,$-7
2016-03-31,$18
2015-12-31,$16
2015-09-30,$13
2015-06-30,$15
2015-03-31,$16
2014-12-31,$17
2014-09-30,$17
2014-06-30,$13
2014-03-31,$15
2013-12-31,$20
2013-09-30,$18
2013-06-30,$13
2013-03-31,$15
2012-12-31,$16
2012-09-30,$16
2012-06-30,$16
2012-03-31,$15
2011-12-31,$15
2011-09-30,$17
2011-06-30,$15
2011-03-31,$17
2010-12-31,$13
2010-09-30,$15
2010-06-30,$16
2010-03-31,$13
2009-12-31,$1
2009-09-30,$12
2009-06-30,$7
2009-03-31,$12
