Roper Technologies Quarterly Net Income (Millions of US $),Roper Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$337
2024-03-31,$382
2023-12-31,$389
2023-09-30,$347
2023-06-30,$365
2023-03-31,$283
2022-12-31,"$1,928"
2022-09-30,$327
2022-06-30,$269
2022-03-31,"$2,021"
2021-12-31,$288
2021-09-30,$290
2021-06-30,$286
2021-03-31,$289
2020-12-31,$256
2020-09-30,$234
2020-06-30,$219
2020-03-31,$240
2019-12-31,$871
2019-09-30,$278
2019-06-30,$250
2019-03-31,$370
2018-12-31,$257
2018-09-30,$248
2018-06-30,$228
2018-03-31,$211
2017-12-31,$444
2017-09-30,$190
2017-06-30,$180
2017-03-31,$158
2016-12-31,$182
2016-09-30,$167
2016-06-30,$158
2016-03-31,$151
2015-12-31,$209
2015-09-30,$160
2015-06-30,$171
2015-03-31,$156
2014-12-31,$186
2014-09-30,$156
2014-06-30,$157
2014-03-31,$147
2013-12-31,$166
2013-09-30,$136
2013-06-30,$111
2013-03-31,$125
2012-12-31,$144
2012-09-30,$117
2012-06-30,$115
2012-03-31,$108
2011-12-31,$122
2011-09-30,$110
2011-06-30,$106
2011-03-31,$89
2010-12-31,$107
2010-09-30,$84
2010-06-30,$71
2010-03-31,$60
2009-12-31,$72
2009-09-30,$56
2009-06-30,$60
2009-03-31,$52
