Kaiser Aluminum Quarterly Net Income (Millions of US $),Kaiser Aluminum Quarterly Net Income (Millions of US $).1
2024-06-30,$3
2024-03-31,$25
2023-12-31,$8
2023-09-30,$5
2023-06-30,$18
2023-03-31,$16
2022-12-31,$-26
2022-09-30,$3
2022-06-30,$-14
2022-03-31,$8
2021-12-31,$2
2021-09-30,$-2
2021-06-30,$-22
2021-03-31,$5
2020-12-31,$6
2020-09-30,$0
2020-06-30,$-7
2020-03-31,$29
2019-12-31,$-11
2019-09-30,$25
2019-06-30,$19
2019-03-31,$28
2018-12-31,$24
2018-09-30,$22
2018-06-30,$21
2018-03-31,$26
2017-12-31,$-15
2017-09-30,$20
2017-06-30,$5
2017-03-31,$36
2016-12-31,$25
2016-09-30,$15
2016-06-30,$26
2016-03-31,$26
2015-12-31,$13
2015-09-30,$22
2015-06-30,$20
2015-03-31,$-292
2014-12-31,$16
2014-09-30,$16
2014-06-30,$25
2014-03-31,$16
2013-12-31,$27
2013-09-30,$25
2013-06-30,$19
2013-03-31,$34
2012-12-31,$9
2012-09-30,$29
2012-06-30,$21
2012-03-31,$27
2011-12-31,$6
2011-09-30,$4
2011-06-30,$4
2011-03-31,$11
2010-12-31,$-2
2010-09-30,$6
2010-06-30,$0
2010-03-31,$9
2009-12-31,$23
2009-09-30,$23
2009-06-30,$19
2009-03-31,$4
