MFA Financial Quarterly Net Income (Millions of US $),MFA Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$15
2023-12-31,$82
2023-09-30,$-65
2023-06-30,$-34
2023-03-31,$65
2022-12-31,$-2
2022-09-30,$-63
2022-06-30,$-109
2022-03-31,$-91
2021-12-31,$36
2021-09-30,$124
2021-06-30,$58
2021-03-31,$77
2020-12-31,$38
2020-09-30,$79
2020-06-30,$88
2020-03-31,$-914
2019-12-31,$97
2019-09-30,$92
2019-06-30,$89
2019-03-31,$85
2018-12-31,$58
2018-09-30,$83
2018-06-30,$67
2018-03-31,$79
2017-12-31,$98
2017-09-30,$60
2017-06-30,$76
2017-03-31,$74
2016-12-31,$70
2016-09-30,$79
2016-06-30,$75
2016-03-31,$74
2015-12-31,$70
2015-09-30,$76
2015-06-30,$74
2015-03-31,$78
2014-12-31,$76
2014-09-30,$75
2014-06-30,$75
2014-03-31,$72
2013-12-31,$75
2013-09-30,$68
2013-06-30,$67
2013-03-31,$75
2012-12-31,$68
2012-09-30,$76
2012-06-30,$72
2012-03-31,$83
2011-12-31,$69
2011-09-30,$82
2011-06-30,$77
2011-03-31,$81
2010-12-31,$60
2010-09-30,$75
2010-06-30,$46
2010-03-31,$81
2009-12-31,$77
2009-09-30,$65
2009-06-30,$67
2009-03-31,$52
