STUDIO CITY IH Quarterly Net Income (Millions of US $),STUDIO CITY IH Quarterly Net Income (Millions of US $).1
2024-06-30,$-33
2024-03-31,$-15
2023-12-31,$-19
2023-09-30,$-28
2023-06-30,$-48
2023-03-31,$-38
2022-12-31,$-85
2022-09-30,$-85
2022-06-30,$-86
2022-03-31,$-70
2021-12-31,$-54
2021-09-30,$-63
2021-06-30,$-60
2021-03-31,$-76
2020-12-31,$-61
2020-09-30,$-98
2020-06-30,$-91
2020-03-31,$-71
2019-12-31,$21
2019-09-30,$14
2019-06-30,$-4
2019-03-31,$3
2018-12-31,$1
2018-09-30,$-8
2018-06-30,
2018-03-31,$9
2017-12-31,
2017-09-30,$-8
2016-12-31,
