Oaktree Specialty Lending Quarterly Net Income (Millions of US $),Oaktree Specialty Lending Quarterly Net Income (Millions of US $).1
2024-06-30,$1
2024-03-31,$9
2023-12-31,$11
2023-09-30,$46
2023-06-30,$37
2023-03-31,$22
2022-12-31,$13
2022-09-30,$13
2022-06-30,$-38
2022-03-31,$14
2021-12-31,$39
2021-09-30,$37
2021-06-30,$47
2021-03-31,$88
2020-12-31,$66
2020-09-30,$71
2020-06-30,$120
2020-03-31,$-165
2019-12-31,$14
2019-09-30,$14
2019-06-30,$20
2019-03-31,$64
2018-12-31,$28
2018-09-30,$33
2018-06-30,$24
2018-03-31,$20
2017-12-31,$-30
2017-09-30,$-125
2017-06-30,$-6
2017-03-31,$9
2016-12-31,$-74
2016-09-30,$-3
2016-06-30,$-5
2016-03-31,$5
2015-12-31,$-63
2015-09-30,$-2
2015-06-30,$21
2015-03-31,$26
2014-12-31,$-28
2014-09-30,$28
2014-06-30,$20
2014-03-31,$30
2013-12-31,$34
2013-09-30,$26
2013-06-30,$26
2013-03-31,$32
2012-12-31,$18
2012-09-30,$27
2012-06-30,$22
2012-03-31,$20
2011-12-31,$10
2011-09-30,$-24
2011-06-30,$21
2011-03-31,$16
2010-12-31,$17
2010-09-30,$5
2010-06-30,$-2
2010-03-31,$9
2009-12-31,$9
2009-09-30,$8
2009-06-30,$6
2009-03-31,$3
