FirstCash Holdings Quarterly Net Income (Millions of US $),FirstCash Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$61
2023-12-31,$70
2023-09-30,$57
2023-06-30,$45
2023-03-31,$47
2022-12-31,$80
2022-09-30,$59
2022-06-30,$86
2022-03-31,$28
2021-12-31,$29
2021-09-30,$33
2021-06-30,$28
2021-03-31,$34
2020-12-31,$33
2020-09-30,$15
2020-06-30,$26
2020-03-31,$33
2019-12-31,$54
2019-09-30,$35
2019-06-30,$33
2019-03-31,$43
2018-12-31,$48
2018-09-30,$33
2018-06-30,$30
2018-03-31,$42
2017-12-31,$68
2017-09-30,$28
2017-06-30,$15
2017-03-31,$33
2016-12-31,$37
2016-09-30,$-1
2016-06-30,$12
2016-03-31,$13
2015-12-31,$19
2015-09-30,$11
2015-06-30,$13
2015-03-31,$17
2014-12-31,$27
2014-09-30,$20
2014-06-30,$16
2014-03-31,$23
2013-12-31,$25
2013-09-30,$23
2013-06-30,$16
2013-03-31,$20
2012-12-31,$28
2012-09-30,$19
2012-06-30,$16
2012-03-31,$18
2011-12-31,$21
2011-09-30,$18
2011-06-30,$15
2011-03-31,$23
2010-12-31,$20
2010-09-30,$14
2010-06-30,$12
2010-03-31,$12
2009-12-31,$15
2009-09-30,$12
2009-06-30,$12
2009-03-31,$11
