MSCI Inc Quarterly Net Income (Millions of US $),MSCI Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$267
2024-03-31,$256
2023-12-31,$403
2023-09-30,$260
2023-06-30,$247
2023-03-31,$239
2022-12-31,$215
2022-09-30,$217
2022-06-30,$211
2022-03-31,$228
2021-12-31,$194
2021-09-30,$170
2021-06-30,$165
2021-03-31,$197
2020-12-31,$156
2020-09-30,$182
2020-06-30,$115
2020-03-31,$148
2019-12-31,$123
2019-09-30,$137
2019-06-30,$126
2019-03-31,$178
2018-12-31,$152
2018-09-30,$124
2018-06-30,$117
2018-03-31,$115
2017-12-31,$65
2017-09-30,$85
2017-06-30,$81
2017-03-31,$73
2016-12-31,$68
2016-09-30,$65
2016-06-30,$67
2016-03-31,$60
2015-12-31,$59
2015-09-30,$64
2015-06-30,$56
2015-03-31,$44
2014-12-31,$44
2014-09-30,$52
2014-06-30,$108
2014-03-31,$80
2013-12-31,$47
2013-09-30,$55
2013-06-30,$61
2013-03-31,$59
2012-12-31,$54
2012-09-30,$48
2012-06-30,$38
2012-03-31,$44
2011-12-31,$46
2011-09-30,$49
2011-06-30,$45
2011-03-31,$33
2010-12-31,$14
2010-11-30,
2010-08-31,$10
2010-05-31,$24
2010-02-28,$27
2009-11-30,
2009-08-31,$20
2009-05-31,$19
2009-02-28,$16
