Frontline Quarterly Net Income (Millions of US $),Frontline Quarterly Net Income (Millions of US $).1
2024-06-30,$188
2024-03-31,$181
2023-12-31,$118
2023-09-30,$108
2023-06-30,$231
2023-03-31,$200
2022-12-31,$239
2022-09-30,$156
2022-06-30,$51
2022-03-31,$29
2021-12-31,$16
2021-09-30,$-33
2021-06-30,$-27
2021-03-31,$29
2020-12-31,$-9
2020-09-30,$57
2020-06-30,$200
2020-03-31,$165
2019-12-31,$109
2019-09-30,$-10
2019-06-30,$1
2019-03-31,$40
2018-12-31,$25
2018-09-30,$2
2018-06-30,$-23
2018-03-31,$-14
2017-12-31,$-248
2017-09-30,$-24
2017-06-30,$-19
2017-03-31,$27
2016-12-31,$18
2016-09-30,$5
2016-06-30,$14
2016-03-31,$79
2015-12-31,$59
2015-09-30,$62
2015-06-30,$23
2015-03-31,$11
2014-12-31,$299
2014-09-30,$-60
2014-06-30,$-78
2014-03-31,$-12
2013-12-31,$245
2013-09-30,$-36
2013-06-30,$-120
2013-03-31,$-19
2012-12-31,$-17
2012-09-30,$-49
2012-06-30,$-24
2012-03-31,$7
2011-12-31,$-344
2011-09-30,$-166
2011-06-30,$-35
2011-03-31,$15
2010-12-31,$-12
2010-09-30,$12
2010-06-30,$81
2010-03-31,$80
2009-12-31,$4
2009-09-30,$-6
2009-06-30,$28
2009-03-31,$77
