Genpact Quarterly Net Income (Millions of US $),Genpact Quarterly Net Income (Millions of US $).1
2024-06-30,$122
2024-03-31,$117
2023-12-31,$291
2023-09-30,$118
2023-06-30,$116
2023-03-31,$106
2022-12-31,$90
2022-09-30,$96
2022-06-30,$72
2022-03-31,$96
2021-12-31,$73
2021-09-30,$102
2021-06-30,$103
2021-03-31,$91
2020-12-31,$75
2020-09-30,$85
2020-06-30,$62
2020-03-31,$86
2019-12-31,$82
2019-09-30,$88
2019-06-30,$74
2019-03-31,$61
2018-12-31,$79
2018-09-30,$74
2018-06-30,$65
2018-03-31,$65
2017-12-31,$67
2017-09-30,$74
2017-06-30,$69
2017-03-31,$53
2016-12-31,$76
2016-09-30,$69
2016-06-30,$66
2016-03-31,$59
2015-12-31,$64
2015-09-30,$68
2015-06-30,$63
2015-03-31,$45
2014-12-31,$46
2014-09-30,$47
2014-06-30,$49
2014-03-31,$51
2013-12-31,$49
2013-09-30,$70
2013-06-30,$64
2013-03-31,$47
2012-12-31,$53
2012-09-30,$25
2012-06-30,$61
2012-03-31,$39
2011-12-31,$61
2011-09-30,$48
2011-06-30,$39
2011-03-31,$36
2010-12-31,$46
2010-09-30,$40
2010-06-30,$28
2010-03-31,$28
2009-12-31,$35
2009-09-30,$33
2009-06-30,$30
2009-03-31,$30
