Sprouts Farmers Market Quarterly Net Income (Millions of US $),Sprouts Farmers Market Quarterly Net Income (Millions of US $).1
2024-06-30,$95
2024-03-31,$114
2023-12-31,$50
2023-09-30,$65
2023-06-30,$67
2023-03-31,$76
2022-12-31,$45
2022-09-30,$66
2022-06-30,$62
2022-03-31,$88
2021-12-31,$36
2021-09-30,$64
2021-06-30,$61
2021-03-31,$83
2020-12-31,$68
2020-09-30,$60
2020-06-30,$67
2020-03-31,$92
2019-12-31,$32
2019-09-30,$26
2019-06-30,$35
2019-03-31,$56
2018-12-31,$13
2018-09-30,$38
2018-06-30,$42
2018-03-31,$67
2017-12-31,$40
2017-09-30,$31
2017-06-30,$41
2017-03-31,$46
2016-12-31,$17
2016-09-30,$24
2016-06-30,$37
2016-03-31,$46
2015-12-31,$28
2015-09-30,$32
2015-06-30,$31
2015-03-31,$37
2014-12-31,$18
2014-09-30,$26
2014-06-30,$30
2014-03-31,$34
2013-12-31,$9
2013-09-30,$11
2013-06-30,$12
2013-03-31,$18
2012-12-31,$3
2012-09-30,$1
2012-06-30,$5
2012-03-31,$10
2011-12-31,
2010-12-31,
