TransUnion Quarterly Net Income (Millions of US $),TransUnion Quarterly Net Income (Millions of US $).1
2024-06-30,$85
2024-03-31,$65
2023-12-31,$6
2023-09-30,$-319
2023-06-30,$54
2023-03-31,$53
2022-12-31,$43
2022-09-30,$79
2022-06-30,$96
2022-03-31,$48
2021-12-31,"$1,021"
2021-09-30,$114
2021-06-30,$128
2021-03-31,$128
2020-12-31,$102
2020-09-30,$103
2020-06-30,$69
2020-03-31,$70
2019-12-31,$83
2019-09-30,$92
2019-06-30,$102
2019-03-31,$71
2018-12-31,$102
2018-09-30,$46
2018-06-30,$55
2018-03-31,$73
2017-12-31,$245
2017-09-30,$69
2017-06-30,$65
2017-03-31,$62
2016-12-31,$50
2016-09-30,$41
2016-06-30,$17
2016-03-31,$13
2015-12-31,$19
2015-09-30,$-4
2015-06-30,$-3
2015-03-31,$-7
2014-12-31,$-13
2014-09-30,$-3
2014-06-30,$18
2014-03-31,$-15
2013-12-31,$-18
2013-09-30,$-3
2013-06-30,$-8
2013-03-31,$-6
2012-12-31,$-8
2012-09-30,$11
2012-06-30,$-4
2012-03-31,$-9
2011-12-31,
2010-12-31,
