Canadian Pacific Kansas City Quarterly Net Income (Millions of US $),Canadian Pacific Kansas City Quarterly Net Income (Millions of US $).1
2024-06-30,$661
2024-03-31,$575
2023-12-31,$752
2023-09-30,$581
2023-06-30,$985
2023-03-31,$591
2022-12-31,$958
2022-09-30,$683
2022-06-30,$599
2022-03-31,$466
2021-12-31,$411
2021-09-30,$375
2021-06-30,"$1,014"
2021-03-31,$475
2020-12-31,$612
2020-09-30,$449
2020-06-30,$458
2020-03-31,$305
2019-12-31,$503
2019-09-30,$468
2019-06-30,$541
2019-03-31,$326
2018-12-31,$416
2018-09-30,$476
2018-06-30,$338
2018-03-31,$275
2017-12-31,$766
2017-09-30,$407
2017-06-30,$357
2017-03-31,$326
2016-12-31,$293
2016-09-30,$266
2016-06-30,$254
2016-03-31,$394
2015-12-31,$239
2015-09-30,$247
2015-06-30,$317
2015-03-31,$262
2014-12-31,$371
2014-09-30,$355
2014-06-30,$345
2014-03-31,$230
2013-12-31,$74
2013-09-30,$314
2013-06-30,$245
2013-03-31,$211
2012-12-31,$15
2012-09-30,$227
2012-06-30,$101
2012-03-31,$143
2011-12-31,$218
2011-09-30,$187
2011-06-30,$121
2011-03-31,$32
2010-12-31,$187
2010-09-30,$193
2010-06-30,$161
2010-03-31,$100
2009-12-31,$194
2009-09-30,$185
2009-06-30,$145
2009-03-31,$39
