SolarEdge Technologies Quarterly Net Income (Millions of US $),SolarEdge Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$-131
2024-03-31,$-157
2023-12-31,$-162
2023-09-30,$-61
2023-06-30,$120
2023-03-31,$138
2022-12-31,$21
2022-09-30,$25
2022-06-30,$15
2022-03-31,$33
2021-12-31,$41
2021-09-30,$53
2021-06-30,$45
2021-03-31,$30
2020-12-31,$18
2020-09-30,$44
2020-06-30,$37
2020-03-31,$42
2019-12-31,$53
2019-09-30,$42
2019-06-30,$33
2019-03-31,$19
2018-12-31,$13
2018-09-30,$46
2018-06-30,$35
2018-03-31,$36
2017-12-31,$20
2017-09-30,$28
2017-06-30,$23
2017-03-31,$14
2016-12-31,
2016-09-30,$16
2016-06-30,$17
2016-03-31,$21
2015-12-31,$24
2015-09-30,$14
2015-06-30,
2015-03-31,$6
2014-12-31,$3
2014-09-30,
2014-06-30,$-3
2014-03-31,$-5
2013-06-30,
