Nutrien Quarterly Net Income (Millions of US $),Nutrien Quarterly Net Income (Millions of US $).1
2024-06-30,$385
2024-03-31,$158
2023-12-31,$172
2023-09-30,$75
2023-06-30,$440
2023-03-31,$571
2022-12-31,"$1,112"
2022-09-30,"$1,577"
2022-06-30,"$3,593"
2022-03-31,"$1,378"
2021-12-31,"$1,201"
2021-09-30,$717
2021-06-30,"$1,108"
2021-03-31,$127
2020-12-31,$316
2020-09-30,$-587
2020-06-30,$765
2020-03-31,$-35
2019-12-31,$-48
2019-09-30,$141
2019-06-30,$858
2019-03-31,$41
2018-12-31,"$3,202"
2018-09-30,"$-1,044"
2018-06-30,"$1,416"
2018-03-31,$-1
2017-12-31,$-76
2017-09-30,$53
2017-06-30,$201
2017-03-31,$149
2016-12-31,$46
2016-09-30,$81
2016-06-30,$121
2016-03-31,$75
2015-12-31,$201
2015-09-30,$282
2015-06-30,$417
2015-03-31,$370
2014-12-31,$407
2014-09-30,$317
2014-06-30,$472
2014-03-31,$340
2013-12-31,$230
2013-09-30,$356
2013-06-30,$643
2013-03-31,$556
2012-12-31,$421
2012-09-30,$645
2012-06-30,$522
2012-03-31,$491
2011-12-31,$683
2011-09-30,$826
2011-06-30,$840
2011-03-31,$732
2010-12-31,$508
2010-09-30,$343
2010-06-30,$480
2010-03-31,$444
2009-12-31,$239
2009-09-30,$248
2009-06-30,$186
2009-03-31,$307
