Sinclair Quarterly Net Income (Millions of US $),Sinclair Quarterly Net Income (Millions of US $).1
2024-06-30,$17
2024-03-31,$23
2023-12-31,$-341
2023-09-30,$-46
2023-06-30,$-89
2023-03-31,$185
2022-12-31,$55
2022-09-30,$21
2022-06-30,$-11
2022-03-31,"$2,587"
2021-12-31,$-89
2021-09-30,$19
2021-06-30,$-332
2021-03-31,$-12
2020-12-31,$467
2020-09-30,"$-3,256"
2020-06-30,$252
2020-03-31,$123
2019-12-31,$43
2019-09-30,$-60
2019-06-30,$42
2019-03-31,$22
2018-12-31,$206
2018-09-30,$64
2018-06-30,$28
2018-03-31,$43
2017-12-31,$444
2017-09-30,$31
2017-06-30,$45
2017-03-31,$57
2016-12-31,$121
2016-09-30,$51
2016-06-30,$49
2016-03-31,$24
2015-12-31,$58
2015-09-30,$43
2015-06-30,$46
2015-03-31,$24
2014-12-31,$95
2014-09-30,$48
2014-06-30,$41
2014-03-31,$27
2013-12-31,$2
2013-09-30,$36
2013-06-30,$18
2013-03-31,$17
2012-12-31,$59
2012-09-30,$26
2012-06-30,$30
2012-03-31,$29
2011-12-31,$23
2011-09-30,$19
2011-06-30,$19
2011-03-31,$15
2010-12-31,$33
2010-09-30,$14
2010-06-30,$17
2010-03-31,$12
2009-12-31,$-68
2009-09-30,$15
2009-06-30,$3
2009-03-31,$-86
