SiriusPoint Quarterly Net Income (Millions of US $),SiriusPoint Quarterly Net Income (Millions of US $).1
2024-06-30,$110
2024-03-31,$85
2023-12-31,$104
2023-09-30,$58
2023-06-30,$56
2023-03-31,$122
2022-12-31,$-27
2022-09-30,$-98
2022-06-30,$-61
2022-03-31,$-217
2021-12-31,$-132
2021-09-30,$-48
2021-06-30,$65
2021-03-31,$160
2020-12-31,$134
2020-09-30,$68
2020-06-30,$124
2020-03-31,$-184
2019-12-31,$29
2019-09-30,$-15
2019-06-30,$53
2019-03-31,$133
2018-12-31,$-298
2018-09-30,$-13
2018-06-30,$20
2018-03-31,$-26
2017-12-31,$44
2017-09-30,$55
2017-06-30,$75
2017-03-31,$104
2016-12-31,$-47
2016-09-30,$72
2016-06-30,$53
2016-03-31,$-51
2015-12-31,$42
2015-09-30,$-196
2015-06-30,$16
2015-03-31,$50
2014-12-31,$-14
2014-09-30,$-6
2014-06-30,$31
2014-03-31,$40
2013-12-31,$81
2013-09-30,$46
2013-06-30,$26
2013-03-31,$74
2012-12-31,$61
2012-09-30,$40
2012-06-30,$-31
2012-03-31,$30
2011-12-31,
