PLDT Quarterly Net Income (Millions of US $),PLDT Quarterly Net Income (Millions of US $).1
2024-06-30,$149
2024-03-31,$176
2023-12-31,$-25
2023-09-30,$169
2023-06-30,$170
2023-03-31,$164
2022-12-31,$-491
2022-09-30,$188
2022-06-30,$318
2022-03-31,$176
2021-12-31,$147
2021-09-30,$119
2021-06-30,$148
2021-03-31,$120
2020-12-31,$96
2020-09-30,$152
2020-06-30,$126
2020-03-31,$116
2019-09-30,$73
2019-06-30,$106
2019-03-31,$128
2018-12-31,$48
2018-09-30,$84
2018-06-30,$93
2018-03-31,$134
2017-12-31,$-173
2017-09-30,$106
2017-06-30,$232
2017-03-31,$99
2016-12-31,$82
2016-09-30,$72
2016-06-30,$134
2016-03-31,$132
2015-12-31,$-70
2015-09-30,$143
2015-06-30,$209
2015-03-31,$210
2014-12-31,$138
2014-09-30,$182
2014-06-30,$243
2014-03-31,$212
2013-12-31,$145
2013-09-30,$213
2013-06-30,$253
2013-03-31,$226
2012-12-31,$151
2012-09-30,$220
2012-06-30,$221
2012-03-31,$238
2011-12-31,$24
2011-09-30,$219
2011-06-30,$245
2011-03-31,$246
2010-12-31,$187
2010-09-30,$232
2010-06-30,$226
2010-03-31,$253
2009-12-31,$211
2009-09-30,$215
2009-06-30,$218
2009-03-31,$199
