Vail Resorts Quarterly Net Income (Millions of US $),Vail Resorts Quarterly Net Income (Millions of US $).1
2024-07-31,$-175
2024-04-30,$362
2024-01-31,$219
2023-10-31,$-176
2023-07-31,$-129
2023-04-30,$325
2023-01-31,$209
2022-10-31,$-137
2022-07-31,$-109
2022-04-30,$373
2022-01-31,$223
2021-10-31,$-139
2021-07-31,$-141
2021-04-30,$275
2021-01-31,$148
2020-10-31,$-154
2020-07-31,$-154
2020-04-30,$153
2020-01-31,$206
2019-10-31,$-106
2019-07-31,$-90
2019-04-30,$292
2019-01-31,$206
2018-10-31,$-108
2018-07-31,$-84
2018-04-30,$256
2018-01-31,$236
2017-10-31,$-28
2017-07-31,$-57
2017-04-30,$181
2017-01-31,$149
2016-10-31,$-63
2016-07-31,$-65
2016-04-30,$158
2016-01-31,$117
2015-10-31,$-60
2015-07-31,$-70
2015-04-30,$133
2015-01-31,$116
2014-10-31,$-64
2014-07-31,$-75
2014-04-30,$118
2014-01-31,$59
2013-10-31,$-73
2013-07-31,$-60
2013-04-30,$98
2013-01-31,$61
2012-10-31,$-61
2012-07-31,$-54
2012-04-30,$80
2012-01-31,$46
2011-10-31,$-56
2011-07-31,$-54
2011-04-30,$77
2011-01-31,$55
2010-10-31,$-43
2010-07-31,$-42
2010-04-30,$73
2010-01-31,$41
2009-10-31,$-41
2009-07-31,$-39
2009-04-30,$62
2009-01-31,$61
