Corporacion America Airports S.A Quarterly Net Income (Millions of US $),Corporacion America Airports S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$50
2024-03-31,$153
2023-12-31,$92
2023-09-30,$46
2023-06-30,$70
2023-03-31,$32
2022-12-31,$15
2022-09-30,$57
2022-06-30,$70
2022-03-31,$26
2021-12-31,$-25
2021-09-30,$-15
2021-06-30,$-34
2021-03-31,$-44
2020-12-31,$-39
2020-09-30,$-143
2020-06-30,$-55
2020-03-31,$-15
2019-12-31,$-46
2019-09-30,$-25
2019-06-30,$49
2019-03-31,$30
2018-12-31,$18
2018-09-30,$-15
2018-06-30,$-23
2018-03-31,$26
2017-12-31,$-4
2017-09-30,$19
2017-06-30,$16
2017-03-31,$32
2016-12-31,
2015-12-31,
