New Fortress Energy LLC Quarterly Net Income (Millions of US $),New Fortress Energy LLC Quarterly Net Income (Millions of US $).1
2024-06-30,$-89
2024-03-31,$54
2023-12-31,$217
2023-09-30,$61
2023-06-30,$119
2023-03-31,$150
2022-12-31,$64
2022-09-30,$62
2022-06-30,$-170
2022-03-31,$238
2021-12-31,$151
2021-09-30,$-10
2021-06-30,$-6
2021-03-31,$-38
2020-12-31,$0
2020-09-30,$-36
2020-06-30,$-137
2020-03-31,$-8
2019-12-31,$-7
2019-09-30,$-7
2019-06-30,$-6
2019-03-31,$-14
2018-12-31,$-35
2018-09-30,$-14
2018-06-30,$-19
2018-03-31,$-11
2017-12-31,
2016-12-31,
