Navios Maritime Partners LP Quarterly Net Income (Millions of US $),Navios Maritime Partners LP Quarterly Net Income (Millions of US $).1
2024-06-30,$99
2024-03-31,$72
2023-12-31,$130
2023-09-30,$88
2023-06-30,$110
2023-03-31,$97
2022-12-31,$116
2022-09-30,$252
2022-06-30,$116
2022-03-31,$84
2021-12-31,$124
2021-09-30,$159
2021-06-30,$100
2021-03-31,$134
2020-12-31,$-50
2020-09-30,$7
2020-06-30,$-15
2020-03-31,$-11
2019-12-31,$-63
2019-09-30,$17
2019-06-30,$-7
2019-03-31,$-10
2018-12-31,$1
2018-09-30,$10
2018-06-30,$-30
2018-03-31,$5
2017-12-31,$-23
2017-09-30,$9
2017-06-30,$4
2017-03-31,$-6
2016-12-31,$-1
2016-09-30,$-34
2016-06-30,$-17
2016-03-31,$0
2015-12-31,$6
2015-09-30,$12
2015-06-30,$11
2015-03-31,$11
2014-12-31,$10
2014-09-30,$13
2014-06-30,$30
2014-03-31,$18
2013-12-31,$10
2013-09-30,$13
2013-06-30,$20
2013-03-31,$16
2012-12-31,$40
2012-09-30,$22
2012-06-30,$17
2012-03-31,$17
2011-12-31,$19
2011-09-30,$17
2011-06-30,$14
2011-03-31,$17
2010-12-31,$18
2010-09-30,$16
2010-06-30,$13
2010-03-31,$13
2009-12-31,$11
2009-09-30,$11
2009-06-30,$4
2009-03-31,$9
