Zillow Quarterly Net Income (Millions of US $),Zillow Quarterly Net Income (Millions of US $).1
2024-06-30,$-17
2024-03-31,$-23
2023-12-31,$-73
2023-09-30,$-28
2023-06-30,$-35
2023-03-31,$-22
2022-12-31,$-72
2022-09-30,$-53
2022-06-30,$8
2022-03-31,$16
2021-12-31,$-261
2021-09-30,$-329
2021-06-30,$10
2021-03-31,$52
2020-12-31,$46
2020-09-30,$40
2020-06-30,$-84
2020-03-31,$-163
2019-12-31,$-101
2019-09-30,$-65
2019-06-30,$-72
2019-03-31,$-68
2018-12-31,$-98
2018-09-30,$-0
2018-06-30,$-3
2018-03-31,$-19
2017-12-31,$-77
2017-09-30,$9
2017-06-30,$-22
2017-03-31,$-5
2016-12-31,$-23
2016-09-30,$7
2016-06-30,$-156
2016-03-31,$-48
2015-12-31,$-26
2015-09-30,$-26
2015-06-30,$-39
2015-03-31,$-58
2014-12-31,$-11
2014-09-30,$-16
2014-06-30,$-10
2014-03-31,$-6
2013-12-31,$3
2013-09-30,$-1
2013-06-30,$-10
2013-03-31,$-4
2012-12-31,$1
2012-09-30,$2
2012-06-30,$1
2012-03-31,$2
2011-12-31,$1
2011-09-30,$-1
2011-06-30,
2011-03-31,$-1
2010-12-31,$-0
2010-09-30,$-2
2010-06-30,$-2
2010-03-31,$-3
2009-12-31,$-3
2009-09-30,$-2
2009-06-30,$-3
2009-03-31,$-4
