UFP Industries Quarterly Net Income (Millions of US $),UFP Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$121
2024-03-31,$116
2023-12-31,$98
2023-09-30,$127
2023-06-30,$143
2023-03-31,$120
2022-12-31,$127
2022-09-30,$160
2022-06-30,$195
2022-03-31,$183
2021-12-31,$133
2021-09-30,$117
2021-06-30,$168
2021-03-31,$100
2020-12-31,$61
2020-09-30,$75
2020-06-30,$65
2020-03-31,$39
2019-12-31,$33
2019-09-30,$52
2019-06-30,$55
2019-03-31,$36
2018-12-31,$27
2018-09-30,$41
2018-06-30,$44
2018-03-31,$33
2017-12-31,$33
2017-09-30,$33
2017-06-30,$33
2017-03-31,$21
2016-12-31,$22
2016-09-30,$27
2016-06-30,$33
2016-03-31,$19
2015-12-31,$19
2015-09-30,$25
2015-06-30,$26
2015-03-31,$10
2014-12-31,$9
2014-09-30,$19
2014-06-30,$22
2014-03-31,$7
2013-12-31,$8
2013-09-30,$14
2013-06-30,$16
2013-03-31,$5
2012-12-31,$-2
2012-09-30,$4
2012-06-30,$17
2012-03-31,$4
2011-12-31,$-2
2011-09-30,$6
2011-06-30,$4
2011-03-31,$-4
2010-12-31,$0
2010-09-30,$3
2010-06-30,$14
2010-03-31,$1
2009-12-31,$-1
2009-09-30,$10
2009-06-30,$16
2009-03-31,$-1
